Iteration	Posterior	Likelihood	Prior	T
5150	-1291.433	-1288.437	-2.995732	8.391815
5160	-1292.606	-1289.61	-2.995732	14.75655
5170	-1291.359	-1288.363	-2.995732	9.216694
5180	-1291.416	-1288.42	-2.995732	10.50734
5190	-1291.659	-1288.663	-2.995732	11.88728
5200	-1291.99	-1288.995	-2.995732	13.08161
5210	-1292.529	-1289.534	-2.995732	5.739162
5220	-1291.358	-1288.362	-2.995732	9.254713
5230	-1291.685	-1288.689	-2.995732	7.336627
5240	-1291.847	-1288.851	-2.995732	6.912507
5250	-1291.37	-1288.374	-2.995732	8.995902
5260	-1292.084	-1289.088	-2.995732	13.36872
5270	-1291.648	-1288.653	-2.995732	11.84245
5280	-1292.331	-1289.335	-2.995732	6.019729
5290	-1292.878	-1289.882	-2.995732	15.39342
5300	-1292.31	-1289.314	-2.995732	6.050558
5310	-1291.819	-1288.824	-2.995732	6.978334
5320	-1292.594	-1289.599	-2.995732	14.72948
5330	-1291.355	-1288.36	-2.995732	9.551771
5340	-1291.422	-1288.426	-2.995732	10.56405
5350	-1291.359	-1288.364	-2.995732	9.209013
